protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
P46412;P21765,NA,NA,NA,NA,NA,35752000
P46460,61073000,100640000,85801000,NA,NA,NA
P46471,243000000,312110000,166590000,348920000,285450000,434730000
P62492;P46638,433370000,510940000,369480000,252910000,416510000,336690000
P46656,25219000,74256000,NA,63478000,84557000,63738000
P46664,29569000,55480000,87918000,NA,NA,NA
P46735;O88329,104350000,214360000,376770000,132940000,131620000,70973000
P46935,1373400000,1401100000,1030200000,1272300000,1116600000,1195100000
P46938;Q9WVQ1,304610000,NA,315050000,675780000,673860000,419530000
P46978,254950000,567730000,747980000,179810000,150560000,86946000
P47199,559730000,493660000,712570000,661950000,696130000,600430000
P47738,42068000000,43880000000,44651000000,28724000000,31863000000,36393000000
P47740;P47739,1618599999.9999998,1558299999.9999998,1642399999.9999998,10191000000,10071000000,9144400000
P47753,51453000,186880000,NA,NA,NA,NA
P47754,470840000,355830000,258380000,232310000,286470000,353360000
P47757,306880000,329670000,235230000,NA,73771000,39708000
P47758,93571000,102910000,106350000,38539000,53829000,50138000
P47791,48701000,180260000,64091000,NA,NA,NA
P47802,55839000,79347000,NA,99100000,NA,80655000
P47857,NA,NA,NA,12852000,NA,14225000
P47911,1755899999.9999998,1499099999.9999998,1571899999.9999998,770220000,930100000,435170000
P47934,NA,NA,NA,220570000,205710000,100550000
P47941,NA,34651000,NA,NA,NA,63557000
P47955,2187700000,2201000000,2104300000,682660000,603120000,664880000
P47962,2650400000,2606300000,2014600000,458480000,331730000,410370000
P47963,1129100000,1190700000,1311700000,744660000,890900000,1013900000
P47964,164690000,433160000,452520000,94874000,138330000,NA
Q9CXU9;P48024,39808000,48900000,79711000,NA,NA,NA
P48036,1172200000,1122900000,1225100000,3514599999.9999995,3942599999.999999,4695000000
P48193;Q9Z2H5,NA,NA,NA,164390000,82973000,188520000
P48410,NA,NA,NA,30944000,NA,NA
P48678,4777000000,4068199999.999999,3040299999.9999995,1944000000,3020099999.9999995,1623999999.9999998
P48758;Q8K354,809970000,677060000,679470000,194700000,305340000,319400000
P48771,1057300000,1010100000,1075800000,733070000,604880000,655030000
P48776,302110000,385810000,599490000,613270000,587300000,629240000
P49312,1534899999.9999998,2339500000,2114400000,93185000,120760000,83999000
P49429,3711999999.999999,4018399999.999999,4767400000,3608799999.999999,3823599999.999999,3692999999.999999
P49586;Q811Q9,NA,NA,NA,NA,NA,26986000
P49698,95872000,97363000,57284000,133490000,120600000,114130000
P49722,79504000,124990000,106670000,84327000,63432000,41227000
P49813;Q9JKK7,45090000,32318000,31299000,26480000,NA,30892000
P49935,90870000,187500000,97046000,24348000,47545000,58567000
P50136,856230000,852270000,1435300000,1089700000,1071100000,813130000
P50171,519930000,425570000,391010000,871670000,568270000,415020000
P50172,1511899999.9999998,1699599999.9999998,2245200000,828050000,424250000,425480000
P50247,11227000000,12322000000,14163000000,9521700000,11359000000,7839699999.999999
P50285,486650000,246140000,288950000,673330000,1162200000,648420000
P50427,120480000,154300000,139430000,NA,NA,58282000
P50431,634220000,481480000,428530000,433550000,452820000,436340000
P50516,41207000,37032000,30054000,NA,NA,NA
P50544,4851200000,5417800000,5762200000,3647799999.999999,4588000000,4808600000
